PlayDate,N01,N02,N03,N04,N05,N06
2023-01-02,2,19,20,27,47,5
2023-01-05,1,27,32,33,35,4
2023-01-09,5,13,15,22,45,6
2023-01-12,4,7,27,33,48,7
2023-01-16,14,19,21,36,48,1
2023-01-19,7,9,23,34,43,5
2023-01-23,16,19,22,37,44,5
2023-01-26,17,24,28,32,37,5
2023-01-30,20,23,31,34,42,1
2023-02-02,11,14,16,23,44,7
2023-02-06,7,10,26,33,44,7
2023-02-09,14,31,33,38,47,1
2023-02-13,6,10,19,27,38,3
2023-02-16,13,16,17,18,21,3
2023-02-20,7,17,19,24,45,1
2023-02-23,5,19,20,22,27,1
2023-02-27,5,15,26,38,44,7
2023-03-02,3,16,17,23,36,2
2023-03-06,15,17,21,35,36,2
2023-03-09,2,10,11,21,38,4
2023-03-13,2,9,11,20,34,2
2023-03-16,16,17,26,41,48,2
2023-03-20,5,7,17,25,35,1
2023-03-23,11,13,16,18,21,2
2023-03-27,14,24,31,47,49,4
2023-03-30,8,9,13,38,40,2
2023-04-03,1,16,28,31,33,1
2023-04-06,17,21,34,36,37,1
2023-04-10,13,34,35,37,46,7
2023-04-13,4,11,35,38,46,5
2023-04-17,4,17,34,35,45,1
2023-04-20,6,7,13,32,41,7
2023-04-24,6,27,30,38,45,5
2023-04-27,4,8,16,17,20,5
2023-05-01,11,12,20,47,48,6
2023-05-04,1,2,8,46,47,4
2023-05-08,2,9,15,22,33,3
2023-05-11,4,5,12,14,25,6
2023-05-15,24,28,37,39,46,6
2023-05-18,3,8,20,40,43,6
2023-05-22,4,17,20,34,39,5
2023-05-25,4,12,16,21,46,5
2023-05-29,4,14,20,23,35,5
2023-06-01,1,13,20,37,41,3
2023-06-05,6,19,23,38,43,5
2023-06-08,14,19,23,28,48,5
2023-06-12,12,20,26,34,45,4
2023-06-15,5,7,12,24,28,4
2023-06-19,4,16,18,30,48,6
2023-06-22,14,17,27,29,47,7
2023-06-26,12,14,23,41,48,5
2023-06-29,1,39,44,46,48,3
2023-07-03,17,19,20,39,42,7
2023-07-06,9,10,14,32,41,5
2023-07-10,5,19,27,41,46,6
2023-07-13,17,19,35,38,40,2
2023-07-17,5,8,25,27,37,4
2023-07-20,1,8,33,45,46,4
2023-07-24,13,23,30,31,37,3
2023-07-27,6,14,18,35,45,7
2023-07-31,1,10,23,32,37,5
2023-08-03,7,12,17,18,28,6
2023-08-07,2,11,18,27,47,6
2023-08-10,15,25,28,29,31,2
2023-08-14,6,21,24,28,33,1
2023-08-17,12,13,16,28,34,1
2023-08-21,4,10,13,18,47,2
2023-08-24,3,5,15,21,28,2
2023-08-28,2,13,16,30,49,6
2023-08-31,13,26,38,39,41,6
2023-09-04,11,14,25,37,39,7
2023-09-07,1,10,25,31,39,5
2023-09-11,10,11,13,25,36,7
2023-09-14,4,13,28,35,49,6
2023-09-18,7,21,28,33,42,2
2023-09-21,2,7,12,21,27,5
2023-09-25,2,22,34,36,37,6
2023-09-28,30,31,34,35,47,2
2023-10-02,5,12,23,41,49,2
2023-10-05,2,5,9,13,48,7
2023-10-09,16,28,35,40,42,1
2023-10-12,2,5,21,30,46,7
2023-10-16,11,27,30,41,42,6
2023-10-19,3,22,24,31,47,4
2023-10-23,7,17,27,31,44,5
2023-10-26,7,22,25,39,43,3
2023-10-30,7,25,31,43,49,4
2023-11-02,7,8,24,26,47,7
2023-11-06,13,15,17,38,46,6
2023-11-09,1,11,12,33,44,4
2023-11-13,1,8,28,40,45,5
2023-11-16,5,27,30,41,42,2
2023-11-20,3,36,38,42,48,6
2023-11-23,1,12,14,20,31,4
2023-11-27,13,16,18,27,30,6
2023-11-30,31,32,34,39,49,6
