PlayDate,AP,N01,N02,N03,N04,N05,N06,N07,N08,N09,N10,N11,N12,N13,N14,N15,N16,N17,N18,N19,N20
2022-01-01,A,2,3,5,7,8,10,25,27,30,31,36,44,45,46,48,51,52,53,56,70
2022-01-02,A,1,5,6,11,14,16,20,23,25,26,29,39,41,42,48,52,61,62,67,70
2022-01-03,A,4,6,7,8,13,14,17,19,23,26,27,32,36,37,42,46,51,58,66,69
2022-01-04,A,1,2,6,7,10,17,24,25,34,36,38,42,44,50,51,60,61,62,63,66
2022-01-05,A,4,5,11,14,16,17,23,26,28,30,31,32,34,39,43,54,57,61,64,69
2022-01-06,A,2,7,8,11,16,17,19,22,26,32,36,42,51,54,56,63,64,66,68,69
2022-01-07,A,1,3,10,12,13,19,27,32,34,37,38,43,44,45,47,57,58,62,64,70
2022-01-08,A,6,8,9,15,19,25,26,27,28,30,32,35,39,45,46,48,50,61,65,67
2022-01-09,A,7,10,16,20,24,27,32,34,36,37,48,49,51,52,54,56,59,62,67,68
2022-01-10,A,2,3,7,9,10,18,24,25,26,30,32,40,42,47,53,56,60,61,63,70
2022-01-11,A,2,3,5,10,12,20,21,22,26,34,36,37,39,41,46,47,48,51,62,69
2022-01-12,A,1,4,8,12,17,18,21,30,36,38,39,43,46,47,50,52,55,56,63,64
2022-01-13,A,4,5,6,7,9,10,14,16,17,23,24,28,40,44,45,47,55,57,58,66
2022-01-14,A,2,5,6,10,12,23,27,28,29,33,38,43,44,51,57,59,60,64,67,69
2022-01-15,A,6,11,12,16,22,28,31,40,43,44,49,50,51,52,61,62,66,67,68,69
2022-01-16,A,2,6,8,11,16,19,21,22,29,30,31,32,34,38,45,51,59,61,62,66
2022-01-17,A,7,9,13,15,20,22,24,25,28,31,33,41,43,44,47,52,56,60,62,63
2022-01-18,A,2,9,11,16,17,21,28,32,36,38,39,43,45,47,52,54,56,59,66,70
2022-01-19,A,4,6,9,11,15,17,18,29,34,41,42,45,47,50,55,62,63,64,68,69
2022-01-20,A,2,3,5,15,23,26,27,31,36,39,49,50,51,52,57,59,60,63,67,68
2022-01-21,A,3,4,6,10,11,14,15,27,30,34,37,43,51,52,55,60,62,65,66,69
2022-01-22,A,1,2,5,8,14,19,20,21,27,31,39,44,47,48,54,58,59,61,64,69
2022-01-23,A,1,4,9,12,13,17,21,25,26,28,33,34,50,56,60,62,64,66,68,69
2022-01-24,A,14,19,21,23,26,28,33,34,40,41,43,44,47,48,51,53,54,61,62,65
2022-01-25,A,4,5,7,8,9,17,18,20,21,22,27,30,33,37,38,39,51,62,68,70
2022-01-26,A,5,7,13,16,19,20,22,26,36,37,40,42,43,48,49,53,59,60,65,70
2022-01-27,A,3,6,9,14,15,18,19,21,24,25,36,44,48,51,55,58,59,64,66,68
2022-01-28,A,3,4,7,9,10,12,25,26,27,29,33,37,44,46,52,54,66,67,69,70
2022-01-29,A,3,4,5,7,8,9,10,20,31,32,37,40,42,45,49,50,53,56,60,64
2022-01-30,A,7,9,22,27,31,37,40,41,44,45,49,50,52,53,54,55,56,57,63,67
2022-01-31,A,1,4,6,10,13,17,20,22,24,28,30,32,34,35,43,44,51,54,57,70
2022-02-01,A,1,4,5,10,12,13,14,18,19,31,33,37,44,47,52,57,64,65,69,70
2022-02-02,A,3,4,12,17,19,23,29,31,34,36,37,50,51,53,54,56,60,62,63,67
2022-02-03,A,1,9,11,14,15,17,19,21,32,33,35,36,45,48,50,54,55,59,63,64
2022-02-04,A,4,7,12,16,21,25,27,29,31,34,39,40,45,48,49,53,57,64,65,68
2022-02-05,A,4,7,14,17,18,20,28,30,31,33,38,39,40,42,45,51,55,58,59,70
2022-02-06,A,2,6,8,18,21,23,24,25,29,30,38,41,45,48,50,51,54,60,67,68
2022-02-07,A,4,6,11,12,14,18,22,27,32,35,36,38,42,43,49,50,54,55,56,68
2022-02-08,A,3,6,10,12,17,26,27,29,37,40,41,42,45,48,54,59,62,64,66,68
2022-02-09,A,1,9,12,14,20,24,26,30,32,33,42,48,54,55,56,58,61,68,69,70
2022-02-10,A,4,6,13,14,17,18,26,27,28,35,36,41,44,45,47,55,59,60,63,70
2022-02-11,A,5,10,14,20,21,24,28,31,33,36,37,43,44,46,50,53,56,59,60,64
2022-02-12,A,2,3,10,17,20,24,25,28,30,31,35,42,43,50,51,52,60,61,63,68
2022-02-13,A,2,6,8,13,16,18,29,34,39,41,47,49,50,52,53,58,59,62,68,69
2022-02-14,A,4,6,7,11,12,14,17,18,25,26,40,46,47,48,54,55,59,62,65,69
2022-02-15,A,1,3,6,7,10,16,17,19,24,31,34,36,40,42,48,51,56,57,60,68
2022-02-16,A,1,3,6,19,20,28,31,33,34,36,42,43,44,52,53,59,62,63,67,69
2022-02-17,A,2,4,18,19,22,26,34,35,46,47,49,50,51,53,54,55,56,59,62,66
2022-02-18,A,1,2,6,9,17,21,22,25,31,33,43,45,48,52,54,57,60,66,67,68
2022-02-22,A,3,4,7,10,15,20,21,22,23,28,37,39,41,42,45,49,55,57,62,67
2022-02-22,P,11,15,25,28,29,31,36,42,43,46,47,48,50,51,54,58,60,61,64,69
2022-02-23,A,3,6,10,18,20,24,27,37,41,43,49,53,54,56,57,58,59,61,65,67
2022-02-23,P,6,9,12,15,18,23,24,25,26,31,32,33,48,50,52,59,63,66,67,70
2022-02-24,A,3,8,9,10,11,19,24,28,33,36,40,44,48,50,55,57,58,63,65,68
2022-02-24,P,1,3,15,16,21,23,27,31,33,39,40,41,42,46,53,58,60,63,64,65
2022-02-25,A,2,5,7,8,10,18,21,25,31,33,36,40,45,48,49,50,55,57,59,63
2022-02-25,P,2,4,5,8,9,10,17,20,23,24,29,32,34,36,37,38,51,55,65,70
2022-02-26,P,4,7,14,17,18,20,33,35,37,38,42,45,53,56,58,61,66,67,69,70
2022-02-26,A,1,2,5,7,22,23,26,32,38,41,45,56,58,59,60,61,62,63,65,69
2022-02-27,A,16,18,25,28,30,32,35,39,40,48,52,53,56,58,59,61,62,65,68,70
2022-02-27,P,2,7,15,18,19,20,21,22,24,35,44,45,46,52,57,60,61,64,68,69
2022-02-28,A,1,2,3,5,6,16,21,23,28,34,35,36,38,41,47,48,51,57,67,69
2022-02-28,P,13,15,20,22,26,29,30,32,37,38,39,42,44,52,55,57,58,63,68,69
2022-03-01,P,3,9,12,15,16,18,19,23,25,29,42,44,46,50,53,55,64,65,66,70
2022-03-01,A,1,4,12,17,20,25,26,27,31,32,34,36,39,41,45,49,54,55,61,65
2022-03-02,P,3,4,6,8,9,11,19,20,21,29,32,40,43,48,53,55,60,62,64,70
2022-03-02,A,2,8,10,11,23,24,29,33,35,37,50,56,57,59,60,61,62,63,67,68
2022-03-03,A,2,3,4,5,6,8,9,12,14,15,16,27,34,45,46,49,51,54,56,65
2022-03-03,P,2,3,11,13,14,15,17,19,25,34,38,44,48,49,56,57,63,64,66,69
2022-03-04,A,1,5,6,7,15,17,19,32,35,36,41,43,44,46,47,55,59,61,67,70
2022-03-04,P,6,7,11,13,14,20,21,23,31,33,37,40,43,44,46,49,50,58,59,61
2022-03-05,A,1,2,3,11,14,19,22,26,28,32,33,35,38,52,55,56,58,61,62,66
2022-03-05,P,1,3,4,14,17,20,24,30,35,36,38,39,40,45,53,58,61,64,66,70
2022-03-06,A,1,6,8,10,12,25,28,33,35,37,38,39,44,45,56,57,64,67,68,70
2022-03-06,P,4,10,13,16,17,18,30,31,35,40,41,44,47,50,51,53,59,61,64,69
2022-03-07,P,3,6,10,13,14,18,22,28,29,32,33,37,42,45,46,55,56,58,59,63
2022-03-07,A,7,10,13,15,20,21,25,29,30,38,39,41,42,47,50,51,56,67,69,70
2022-03-08,P,2,4,9,10,22,25,30,31,32,34,35,36,37,41,42,45,49,57,60,63
2022-03-08,A,3,5,7,13,15,19,22,28,29,30,31,40,41,42,45,52,53,56,61,70
2022-03-09,A,5,6,9,10,13,16,18,21,22,28,32,34,35,39,42,45,48,51,65,66
2022-03-09,P,3,10,12,19,25,26,28,32,34,36,38,39,40,41,48,56,57,58,63,67
2022-03-10,A,4,7,8,9,17,24,26,27,30,34,35,37,40,49,50,52,53,56,63,70
2022-03-10,P,4,6,9,10,12,15,17,22,23,32,44,45,48,52,53,57,61,63,67,70
2022-03-11,A,8,12,14,18,22,32,36,39,40,41,45,47,49,51,53,61,64,65,66,69
2022-03-11,P,4,5,9,11,12,15,17,22,26,31,38,39,43,44,53,55,58,59,68,70
2022-03-12,P,5,6,13,14,19,20,23,27,31,32,33,37,43,47,50,54,55,60,62,68
2022-03-12,A,2,6,8,9,10,11,17,19,26,27,36,38,40,41,46,49,52,62,69,70
2022-03-13,A,5,7,14,15,20,30,31,32,35,38,40,41,42,43,44,55,66,67,68,69
2022-03-13,P,3,7,10,13,14,18,23,24,27,31,34,35,38,41,47,51,58,60,64,67
2022-03-14,A,1,2,5,6,9,11,13,20,21,30,33,34,35,38,43,51,52,55,59,64
2022-03-14,P,4,6,7,11,13,14,18,21,23,28,30,33,35,47,53,59,62,64,65,66
2022-03-15,A,1,2,5,6,10,11,14,18,24,25,36,38,39,44,54,57,59,61,69,70
2022-03-15,P,5,6,7,13,25,29,32,34,38,39,43,44,52,56,59,62,63,65,66,69
2022-03-16,A,2,4,11,15,20,24,33,34,35,38,40,46,48,49,53,54,57,64,66,69
2022-03-16,P,2,8,9,11,17,19,22,29,31,38,39,41,44,46,54,55,56,57,58,63
2022-03-17,A,13,15,17,18,21,22,25,26,27,31,32,36,44,45,49,51,53,59,63,70
2022-03-17,P,1,2,6,8,10,15,16,22,24,26,33,34,36,49,55,57,60,63,66,68
2022-03-18,A,2,3,5,9,15,32,33,35,41,43,44,46,50,55,56,57,62,65,68,70
2022-03-18,P,3,5,14,16,18,23,25,27,29,32,47,49,50,51,53,57,60,66,68,69
2022-03-19,P,3,4,6,7,11,12,16,27,28,29,32,34,41,45,46,48,51,52,63,64
2022-03-19,A,1,3,5,7,10,12,13,15,28,32,37,41,46,47,50,53,54,55,68,69
2022-03-20,A,1,5,7,8,11,13,16,17,23,29,35,36,42,44,47,54,56,59,60,69
2022-03-20,P,10,12,16,22,23,24,27,29,30,39,40,41,52,53,58,61,62,63,64,68
2022-03-21,A,2,6,13,17,19,20,26,28,30,31,36,44,45,50,57,58,60,61,65,67
2022-03-21,P,3,4,6,8,9,18,25,29,35,37,40,42,43,46,50,55,56,58,61,62
2022-03-22,P,2,4,9,14,15,20,25,27,32,42,46,48,53,59,60,63,64,66,69,70
2022-03-22,A,7,8,13,16,17,25,29,34,36,39,40,43,51,54,55,58,59,60,64,70
2022-03-23,P,4,6,7,8,15,19,23,26,28,31,41,42,43,44,46,47,52,55,64,66
2022-03-23,A,1,5,6,17,20,25,27,30,31,34,37,40,45,47,53,54,55,64,66,70
2022-03-24,A,4,8,10,16,17,19,30,31,33,37,39,41,47,50,51,55,61,62,65,67
2022-03-24,P,4,8,9,10,12,14,17,30,32,34,37,40,41,51,53,56,60,61,62,67
2022-03-25,A,3,8,10,11,12,19,20,24,26,31,32,37,46,54,56,62,64,65,66,67
2022-03-25,P,3,4,9,14,23,30,31,36,39,43,44,45,47,48,52,55,56,65,69,70
2022-03-26,A,5,7,12,13,14,16,18,20,25,32,34,36,38,40,44,46,50,51,60,68
2022-03-26,P,4,6,9,10,12,15,21,24,32,38,41,45,51,55,58,59,61,63,65,66
2022-03-27,A,1,3,6,8,10,15,26,36,41,43,44,52,54,55,57,60,64,67,69,70
2022-03-27,P,1,3,6,12,14,15,20,25,27,28,30,35,39,41,55,57,58,65,67,69
2022-03-28,P,7,11,19,22,24,25,27,29,32,34,39,40,42,47,50,58,59,67,69,70
2022-03-28,A,1,2,5,6,8,11,14,16,17,23,34,35,39,40,41,55,56,59,61,64
2022-03-29,P,3,4,7,8,10,14,20,29,33,35,36,40,41,46,50,53,55,61,64,68
2022-03-29,A,2,4,12,16,19,32,35,40,42,43,46,47,52,53,56,58,63,65,67,69
2022-03-30,A,8,9,11,14,16,21,25,31,34,39,42,44,47,55,57,59,63,65,68,69
2022-03-30,P,1,3,4,5,9,20,24,28,34,35,37,41,45,47,49,57,59,61,64,67
2022-03-31,A,5,7,8,18,19,21,23,24,25,26,28,39,41,46,50,52,53,57,58,67
2022-03-31,P,7,8,11,15,21,27,32,33,34,40,41,43,52,53,57,58,60,66,68,70
2022-04-01,A,1,3,8,9,10,11,12,13,16,17,23,26,29,31,36,39,49,51,62,66
2022-04-01,P,4,8,10,11,28,29,30,40,44,47,49,50,54,57,60,63,64,66,67,70
2022-04-02,P,2,4,10,11,12,27,28,31,38,40,44,46,47,55,56,57,58,63,65,68
2022-04-02,A,9,10,16,23,26,28,31,32,33,37,38,41,46,47,51,59,61,62,65,70
2022-04-03,A,1,7,9,14,15,17,25,33,36,37,43,48,52,58,59,61,63,66,68,69
2022-04-03,P,1,9,12,19,23,24,27,28,29,34,36,40,44,45,46,48,51,53,54,59
2022-04-04,A,4,5,10,14,15,18,25,26,29,32,35,39,42,44,46,48,49,63,64,67
2022-04-04,P,1,3,11,16,23,24,28,30,31,33,37,39,43,44,45,51,59,61,64,65
2022-04-05,A,2,3,10,12,15,18,21,24,31,33,34,35,37,41,43,48,54,60,61,67
2022-04-05,P,3,5,7,8,12,18,22,26,27,31,38,42,43,47,51,52,55,56,59,67
2022-04-06,A,2,8,13,22,23,25,26,35,36,39,40,43,47,49,56,57,63,64,66,67
2022-04-06,P,4,12,15,18,20,23,24,26,28,34,46,47,50,52,58,59,62,63,64,68
2022-04-07,A,1,3,4,7,14,17,18,19,21,23,25,31,37,41,47,49,51,52,62,66
2022-04-07,P,1,3,5,6,10,19,22,23,24,28,29,35,36,43,44,46,53,56,58,64
2022-04-08,P,2,3,4,5,8,12,16,24,25,29,31,33,46,47,54,55,60,63,64,67
2022-04-08,A,1,8,9,10,17,30,31,32,33,35,36,44,46,47,52,53,54,55,59,61
2022-04-09,P,1,5,8,11,14,19,21,25,33,38,40,41,44,46,48,51,52,61,65,68
2022-04-09,A,1,2,4,10,13,14,24,25,26,27,32,34,36,37,48,50,53,55,61,62
2022-04-10,A,1,2,3,5,7,13,14,18,20,25,26,28,30,31,38,41,45,51,62,66
2022-04-10,P,3,15,16,19,21,22,33,39,40,44,45,54,58,59,61,62,63,65,68,70
2022-04-11,A,6,10,15,22,26,28,29,31,32,34,35,37,39,56,58,60,66,67,68,70
2022-04-11,P,2,4,7,13,15,18,20,21,24,25,26,30,36,40,48,49,51,61,66,68
2022-04-12,A,4,5,6,9,12,14,19,24,33,41,43,46,48,51,53,56,57,58,61,66
2022-04-12,P,4,6,11,13,14,20,26,30,34,36,38,40,43,50,51,53,54,60,65,68
2022-04-13,P,3,7,14,15,19,23,25,27,31,37,42,43,44,47,48,51,55,58,60,62
2022-04-13,A,2,8,9,12,13,14,18,20,22,33,34,35,41,43,44,49,51,55,65,67
2022-04-14,A,1,4,15,17,18,24,30,31,35,38,44,45,54,57,58,62,63,66,67,68
2022-04-14,P,3,4,7,11,12,15,23,24,27,31,35,36,46,51,52,53,56,60,63,67
2022-04-15,A,2,4,10,15,17,24,31,32,37,39,41,42,43,50,52,53,56,60,64,66
2022-04-15,P,1,6,13,14,16,17,20,24,25,27,28,30,31,36,38,39,40,42,59,66
2022-04-16,A,1,2,3,6,16,32,34,39,44,45,46,51,54,57,59,61,63,65,66,68
2022-04-16,P,2,3,12,14,15,23,30,32,42,46,47,48,54,55,56,59,60,62,63,64
2022-04-17,A,1,7,10,11,13,14,17,23,27,31,35,39,40,44,46,49,53,54,57,59
2022-04-17,P,2,3,4,11,16,24,26,28,30,34,35,38,45,47,49,50,56,60,62,70
2022-04-18,P,1,2,4,17,21,23,26,29,30,31,33,41,43,45,47,49,53,54,60,67
2022-04-18,A,14,16,17,25,26,34,36,40,41,42,45,47,49,52,55,58,61,65,66,69
2022-04-19,P,5,6,8,14,15,22,25,27,32,33,35,36,45,47,50,52,53,59,65,69
2022-04-19,A,1,10,11,18,23,24,25,31,34,35,44,46,48,49,51,55,57,58,67,68
2022-04-20,A,7,8,11,12,13,16,24,32,35,36,37,42,46,47,48,56,59,60,67,69
2022-04-20,P,10,11,16,17,23,25,29,30,31,32,36,41,45,49,50,51,56,59,68,69
2022-04-21,A,9,12,13,16,20,22,25,28,35,37,39,40,45,47,53,56,62,65,67,68
2022-04-21,P,2,3,5,6,7,10,24,26,30,37,39,40,42,46,48,49,50,51,59,66
2022-04-22,A,9,10,12,15,17,18,19,24,25,27,31,36,40,42,43,49,53,54,58,70
2022-04-22,P,1,4,12,21,24,25,30,31,32,35,36,39,42,43,46,50,51,52,57,60
2022-04-23,P,1,7,9,10,13,14,15,16,33,34,37,39,42,45,46,48,54,67,69,70
2022-04-23,A,1,5,8,10,15,17,27,28,31,35,39,40,42,46,47,49,50,52,56,69
2022-04-24,A,4,9,10,16,22,27,30,36,37,40,44,49,53,57,59,63,65,66,67,68
2022-04-24,P,1,5,7,11,13,15,19,24,30,33,38,39,43,51,52,58,61,65,66,70
2022-04-25,A,7,8,12,15,22,25,26,31,36,39,44,47,48,49,55,57,58,61,63,66
2022-04-25,P,4,6,7,13,14,17,22,26,28,29,32,35,38,44,49,52,53,56,65,67
2022-04-26,A,2,3,4,5,10,11,16,19,21,23,27,31,37,42,44,45,52,53,57,63
2022-04-26,P,6,10,11,18,20,22,24,26,29,40,45,46,47,48,50,53,54,60,67,69
2022-04-27,A,2,5,7,10,21,22,23,31,32,34,39,43,48,50,51,55,56,60,63,70
2022-04-27,P,3,7,9,10,14,20,23,25,26,31,32,37,39,44,46,56,58,62,64,66
2022-04-28,A,1,6,11,12,13,20,22,27,35,37,43,45,46,54,56,57,58,59,63,66
2022-04-28,P,7,11,14,19,22,23,25,28,33,34,35,41,42,43,45,51,56,58,63,67
2022-04-29,A,3,6,9,10,12,15,20,26,32,35,38,41,44,50,52,57,58,60,62,64
2022-04-29,P,1,9,10,13,16,21,23,26,29,36,38,41,46,51,56,57,62,63,67,69
2022-04-30,A,2,5,12,14,19,21,23,25,26,36,42,44,46,47,51,55,64,67,69,70
2022-04-30,P,1,3,4,5,8,13,17,18,21,27,37,41,44,45,48,51,56,60,66,67
2022-05-01,P,3,5,7,9,18,19,32,33,38,40,46,47,50,53,54,55,57,59,68,70
2022-05-01,A,2,5,7,8,13,20,28,34,37,42,43,44,49,52,53,56,58,60,63,66
2022-05-02,A,3,6,9,11,12,16,19,25,27,29,32,33,34,37,41,48,49,52,68,69
2022-05-02,P,17,19,21,23,26,27,30,33,34,36,42,45,52,53,54,57,58,61,66,70
2022-05-03,A,9,14,19,24,28,32,35,36,37,38,39,42,44,51,52,54,58,61,65,67
2022-05-03,P,1,3,4,5,8,10,16,19,31,42,45,46,48,52,61,62,63,64,67,68
2022-05-04,P,3,6,7,12,13,15,17,22,27,28,31,32,39,41,42,45,49,56,67,70
2022-05-04,A,9,10,17,22,24,32,37,38,40,43,49,50,51,52,55,56,57,64,67,70
2022-05-05,P,1,3,7,18,19,21,23,24,25,26,39,45,47,49,59,60,63,65,68,70
2022-05-05,A,2,10,18,22,23,25,26,27,33,37,40,41,44,50,51,59,62,63,69,70
2022-05-06,A,3,5,6,7,10,12,18,23,26,28,32,35,39,46,51,55,59,60,62,69
2022-05-06,P,1,7,14,19,20,22,23,27,31,32,34,41,42,46,50,52,59,65,66,70
2022-05-07,A,2,9,10,12,15,26,30,34,39,40,43,47,50,51,52,53,57,60,62,69
2022-05-07,P,6,7,12,17,20,21,22,24,26,31,38,39,46,49,50,52,54,58,65,66
2022-05-08,A,1,4,6,7,8,10,20,23,29,30,34,35,40,41,48,53,61,62,65,69
2022-05-08,P,6,8,12,13,17,22,25,33,35,39,40,46,48,50,53,56,63,64,66,70
2022-05-09,A,3,8,11,13,14,21,23,24,28,31,32,33,35,37,39,40,44,45,57,70
2022-05-09,P,1,10,11,14,16,19,20,23,26,29,31,32,39,40,43,49,60,62,64,68
2022-05-10,P,1,2,15,19,21,23,25,27,31,32,36,37,39,40,52,53,59,61,62,70
2022-05-10,A,2,13,14,15,23,24,25,26,27,36,37,41,45,46,50,52,53,55,56,62
2022-05-11,P,7,10,13,23,27,30,36,40,44,45,54,56,57,58,59,61,64,65,67,68
2022-05-11,A,2,11,12,13,18,20,23,24,26,29,31,40,41,45,47,50,58,63,67,68
