PlayDate,AP,N01,N02,N03,N04,N05,N06,N07,N08,N09,N10,N11,N12,N13,N14,N15,N16,N17,N18,N19,N20
2024-03-09,A,2,12,13,14,17,21,25,28,29,30,34,40,47,56,58,64,65,66,67,68
2024-03-08,A,4,12,24,26,29,31,33,39,40,42,50,51,52,53,54,58,59,63,68,70
2024-03-07,A,3,5,11,16,17,18,20,23,30,35,38,39,42,43,49,57,59,61,62,67
2024-03-06,A,6,23,28,29,31,32,36,37,39,40,44,49,51,52,54,60,61,62,63,68
2024-03-05,A,1,9,10,19,20,22,24,26,28,31,34,37,38,42,45,55,60,61,67,70
2024-03-04,A,10,11,15,17,18,23,27,30,37,39,43,47,48,51,52,56,61,63,65,67
2024-03-03,A,2,3,6,11,21,24,30,31,33,34,35,37,39,41,43,44,48,56,68,70
2024-03-02,A,3,9,14,27,28,32,35,37,38,39,40,44,51,53,55,59,62,65,66,69
2024-03-01,A,5,6,7,10,14,16,24,25,26,27,28,29,32,33,36,37,40,57,59,69
2024-02-29,A,6,10,11,12,20,21,29,31,32,33,34,37,43,45,52,53,54,55,62,68
2024-02-28,A,4,6,10,19,21,23,24,26,29,32,39,43,47,49,51,52,53,55,63,68
2024-02-27,A,1,6,7,8,10,12,17,21,22,25,29,32,35,47,51,59,60,61,65,70
2024-02-26,A,1,2,4,13,14,17,19,26,34,38,40,44,50,51,55,58,60,63,66,67
2024-02-25,A,1,9,13,18,19,23,24,25,26,33,35,38,44,45,46,52,56,64,66,69
2024-02-24,A,1,2,5,10,16,19,20,22,23,29,32,38,42,45,46,47,49,52,54,64
2024-02-23,A,1,2,3,6,10,14,15,16,32,34,37,42,44,53,54,55,56,58,62,70
2024-02-22,A,5,7,10,12,15,17,19,25,29,35,39,41,48,52,53,54,58,60,64,67
2024-02-21,A,3,4,6,8,9,10,13,14,17,19,31,33,36,38,39,43,49,53,55,70
2024-02-20,A,1,5,16,18,21,25,28,34,36,39,40,44,46,54,56,58,60,65,66,67
2024-02-19,A,2,6,8,9,10,13,24,25,26,28,29,47,53,56,57,59,60,65,66,70
2024-02-18,A,2,19,24,28,35,37,39,40,42,44,45,52,55,58,60,61,65,66,67,68
2024-02-17,A,4,7,8,22,28,29,31,35,41,43,45,49,50,53,55,59,60,61,62,63
2024-02-16,A,4,6,14,15,17,18,24,27,28,30,33,35,41,49,50,52,56,57,58,64
2024-02-15,A,2,4,8,11,13,14,16,19,22,33,34,37,39,40,50,57,60,64,66,69
2024-02-14,A,6,12,15,22,23,25,28,30,32,33,39,40,42,43,47,48,49,53,55,61
2024-02-13,A,3,8,15,17,18,19,23,24,25,32,34,41,43,44,45,46,53,57,67,69
2024-02-12,A,6,7,11,13,22,31,33,35,37,39,41,45,46,48,53,54,61,63,68,70
2024-02-11,A,1,4,8,11,14,18,20,32,33,35,37,38,39,43,50,56,57,61,66,68
2024-02-10,A,4,7,12,14,16,19,25,27,37,40,42,52,53,57,62,65,66,67,68,69
2024-02-09,A,1,4,5,12,24,25,28,30,35,45,47,49,51,54,55,60,61,62,68,69
2024-02-08,A,1,2,3,9,11,14,15,26,27,29,30,31,36,40,52,54,57,63,67,69
2024-02-07,A,8,10,17,18,20,22,27,29,32,34,37,39,40,43,44,52,55,61,62,65
2024-02-06,A,4,5,11,14,16,19,20,23,25,26,27,30,31,32,44,47,58,59,63,67
2024-02-05,A,3,7,10,13,15,20,21,28,34,36,37,38,40,44,49,55,57,62,65,68
