PlayDate,N01,N02,N03,N04,N05,N06,N07,N08
2013-01-04,3,6,16,23,27,28,34,22
2013-01-11,2,25,26,37,39,48,49,40
2013-01-18,8,16,17,28,32,34,47,19
2013-01-25,1,18,19,29,31,32,46,36
2013-02-01,5,9,10,32,37,44,46,38
2013-02-08,3,8,13,30,38,45,47,10
2013-02-15,14,23,24,25,28,41,45,37
2013-02-22,5,12,24,31,39,45,49,35
2013-03-01,1,2,5,6,38,39,46,33
2013-03-08,9,15,17,28,35,39,41,36
2013-03-15,9,16,17,19,22,41,43,12
2013-03-22,7,12,16,19,21,24,47,34
2013-03-29,8,11,12,13,22,33,47,7
2013-04-05,2,14,15,17,24,38,40,31
2013-04-12,3,6,37,40,42,44,48,18
2013-04-19,2,3,8,20,28,31,34,42
2013-04-26,10,13,15,18,25,36,47,40
2013-05-03,4,6,21,26,30,34,35,39
2013-05-10,3,10,19,21,27,35,36,49
2013-05-17,8,18,21,27,33,46,49,26
2013-05-24,9,19,21,24,39,43,48,6
2013-05-31,5,7,10,15,22,45,47,23
2013-06-07,5,19,24,34,35,38,43,8
2013-06-14,2,12,15,18,21,22,25,5
2013-06-21,2,9,12,13,27,28,36,20
2013-06-28,2,7,15,38,43,44,47,1
2013-07-05,5,12,15,39,44,46,49,18
2013-07-12,14,16,17,36,45,46,48,7
2013-07-19,3,17,19,20,34,35,43,4
2013-07-26,5,9,12,18,24,35,42,17
2013-08-02,2,9,23,29,30,34,43,40
2013-08-09,6,15,19,26,43,44,49,30
2013-08-16,2,6,20,22,30,34,49,45
2013-08-23,5,6,10,17,22,36,48,3
2013-08-30,6,19,20,25,31,35,36,45
2013-09-06,1,7,23,36,37,39,41,33
2013-09-13,2,6,12,15,16,22,49,46
2013-09-20,2,14,15,24,40,43,44,45
2013-09-27,10,11,18,24,26,42,47,45
2013-10-04,12,16,19,20,28,34,42,9
2013-10-11,7,8,9,16,21,28,48,29
2013-10-18,10,26,28,33,34,35,40,12
2013-10-25,13,16,24,29,33,40,49,28
2013-11-01,11,12,16,22,30,32,49,35
2013-11-08,7,8,10,15,24,26,41,12
2013-11-15,1,3,10,15,25,28,31,7
2013-11-22,2,24,35,38,39,41,48,20
2013-11-29,3,6,19,31,34,42,45,30
2013-12-06,3,4,11,18,37,42,44,47
2013-12-13,6,16,24,32,36,45,47,25
2013-12-20,2,13,18,24,27,37,43,14
2013-12-27,1,6,9,11,17,37,39,32
