PlayDate,N01,N02,N03,N04,N05,N06,N07,N08
2017-12-29,22,23,26,35,37,39,47,14
2017-12-22,13,16,19,21,24,26,30,36
2017-12-15,8,14,17,27,28,30,48,37
2017-12-08,1,17,31,33,39,46,49,42
2017-12-01,26,28,33,38,42,43,47,16
2017-11-24,5,11,20,22,35,38,46,45
2017-11-17,3,15,22,23,33,47,49,6
2017-11-10,5,12,18,26,29,31,37,40
2017-11-03,16,17,18,20,40,42,43,15
2017-10-27,1,14,15,16,24,39,49,5
2017-10-20,1,4,12,27,35,38,46,8
2017-10-13,8,14,16,17,18,34,41,43
2017-10-06,10,17,25,27,29,34,38,48
2017-09-29,1,6,14,23,38,40,47,25
2017-09-22,2,10,37,38,39,43,47,28
2017-09-15,15,20,24,30,39,44,46,22
2017-09-08,1,2,15,16,22,29,41,27
2017-09-01,1,7,18,28,31,39,48,35
2017-08-25,18,19,23,34,39,43,46,1
2017-08-18,2,9,13,16,25,26,45,19
2017-08-11,13,14,19,26,27,36,37,18
2017-08-04,1,4,11,17,27,36,37,47
2017-07-28,9,12,16,24,33,45,47,14
2017-07-21,2,11,12,25,33,39,44,8
2017-07-14,2,4,11,17,26,41,42,44
2017-07-07,4,8,13,16,26,33,38,10
2017-06-30,7,24,26,36,37,43,44,3
2017-06-23,2,3,6,22,24,42,46,27
2017-06-16,1,5,20,33,34,41,42,15
2017-06-09,7,11,20,21,22,37,47,38
2017-06-02,11,12,25,28,33,41,43,36
2017-05-26,14,16,18,21,38,44,49,15
2017-05-19,8,11,18,25,34,35,38,44
2017-05-12,11,25,26,28,38,44,45,20
2017-05-05,11,14,20,22,26,35,43,33
2017-04-28,10,14,22,36,38,44,45,11
2017-04-21,3,4,13,16,35,47,49,37
2017-04-14,23,25,29,30,42,44,45,20
2017-04-07,8,12,14,34,37,44,48,45
2017-03-31,1,2,12,15,22,25,41,34
2017-03-24,16,19,21,32,37,39,45,26
2017-03-17,2,5,6,7,8,33,45,15
2017-03-10,1,11,15,20,36,41,47,33
2017-03-03,3,7,20,25,29,31,44,27
2017-02-24,1,17,19,23,28,29,47,10
2017-02-17,5,9,14,24,33,37,46,38
2017-02-10,11,16,19,22,24,38,41,48
2017-02-03,8,19,24,28,34,42,48,17
2017-01-27,1,3,8,22,29,38,47,11
2017-01-20,4,10,21,28,29,37,45,20
2017-01-13,2,8,24,30,31,38,40,42
2017-01-06,10,13,18,19,38,47,48,42
