PlayDate,AP,N01,N02,N03,N04,N05,N06,N07,N08,N09,N10,N11,N12,N13,N14,N15,N16,N17,N18,N19,N20
2023-12-31,P,8,15,19,22,24,30,33,36,40,43,44,47,50,51,54,55,56,63,67,70
2023-12-30,P,2,12,15,16,19,20,23,24,25,30,31,32,33,41,57,59,60,61,63,68
2023-12-29,P,1,5,7,9,12,19,25,31,39,40,42,44,45,47,50,52,54,58,62,66
2023-12-28,P,5,6,8,13,19,22,23,24,37,38,39,42,47,50,51,53,57,62,66,67
2023-12-27,P,4,7,12,17,18,21,23,24,28,29,38,49,51,53,58,59,62,65,66,68
2023-12-26,P,1,6,15,18,23,26,28,29,31,34,37,41,45,47,52,53,54,59,61,70
2023-12-25,P,1,5,8,10,12,13,20,23,29,30,31,32,43,55,57,59,61,62,63,67
2023-12-24,P,1,10,12,18,19,21,31,33,34,35,40,44,45,48,59,60,61,62,64,67
2023-12-23,P,2,6,9,12,14,16,17,22,25,27,30,33,34,38,39,46,53,54,59,69
2023-12-22,P,1,8,11,13,29,30,31,32,34,40,42,44,46,49,50,51,55,61,64,66
2023-12-21,P,1,7,10,12,15,17,25,26,35,39,42,43,44,51,55,57,59,64,67,70
2023-12-20,P,5,6,12,14,17,21,26,29,30,32,36,39,40,47,51,54,59,62,63,67
2023-12-19,P,7,9,15,21,28,31,32,34,35,37,39,40,43,44,46,49,56,57,58,68
2023-12-18,P,1,2,3,5,7,8,10,13,14,16,24,30,31,38,40,43,46,53,59,70
2023-12-17,P,1,5,6,9,12,15,18,23,25,32,40,51,54,56,57,58,60,63,64,69
2023-12-16,P,4,8,9,17,21,22,23,29,33,40,44,46,48,49,50,54,55,61,64,65
2023-12-15,P,2,3,5,8,9,10,16,18,19,24,28,30,31,34,38,51,55,58,64,68
2023-12-14,P,8,10,11,21,22,24,28,31,34,37,41,47,53,54,56,57,62,66,69,70
2023-12-13,P,4,7,18,20,24,25,26,31,33,37,41,45,46,49,56,59,63,64,65,69
2023-12-12,P,6,8,11,16,17,19,21,28,29,32,39,40,45,46,50,51,61,67,69,70
2023-12-11,P,1,2,6,10,11,14,15,25,26,31,33,39,41,42,44,46,53,58,62,69
2023-12-10,P,2,4,8,11,13,18,19,25,27,31,34,37,40,51,56,57,60,62,63,67
2023-12-09,P,1,6,12,15,17,19,21,28,30,31,45,46,47,51,53,55,57,59,66,67
2023-12-08,P,1,2,3,10,12,14,18,20,21,25,32,36,40,42,45,48,56,68,69,70
2023-12-07,P,2,3,6,8,19,21,23,24,29,32,36,42,43,56,57,63,64,66,67,69
2023-12-06,P,2,7,11,16,17,20,24,25,27,30,40,41,43,44,49,52,55,56,60,61
2023-12-05,P,3,9,11,13,18,20,23,25,37,41,44,50,51,52,54,56,58,62,63,66
2023-12-04,P,1,3,6,7,16,20,31,35,38,42,49,50,51,52,53,55,56,57,63,64
2023-12-03,P,1,5,6,9,11,12,15,22,23,27,29,31,38,39,40,46,51,52,59,69
2023-12-02,P,2,5,8,12,18,19,23,25,28,34,36,38,44,50,51,53,54,55,60,68
2023-12-01,P,10,12,15,18,23,29,33,34,35,36,37,43,46,51,52,55,57,62,63,64
2023-11-30,P,1,4,6,7,10,12,14,15,17,19,20,23,25,40,43,44,47,61,62,63
