PlayDate,AP,N01,N02,N03,N04,N05,N06,N07,N08,N09,N10,N11,N12,N13,N14,N15,N16,N17,N18,N19,N20
Dec 31 2021,A,1,6,10,12,14,24,25,27,28,31,32,34,45,46,52,54,55,56,65,69
Dec 30 2021,A,6,12,16,22,23,31,36,38,39,43,46,52,53,56,58,59,62,63,66,69
Dec 29 2021,A,6,7,8,9,10,11,15,18,25,26,34,41,43,45,51,54,55,59,67,68
Dec 28 2021,A,3,7,8,14,15,20,25,27,32,34,36,37,39,52,53,54,55,56,65,67
Dec 27 2021,A,3,4,5,10,12,17,20,26,28,31,32,33,34,43,46,51,53,60,61,63
Dec 26 2021,A,5,8,9,10,17,18,22,23,24,29,32,41,45,46,47,51,57,58,60,63
Dec 25 2021,A,3,4,13,22,24,26,28,35,37,40,42,43,46,53,55,57,61,62,64,67
Dec 24 2021,A,2,4,8,12,19,20,21,27,28,29,35,38,39,40,47,48,53,56,62,69
Dec 23 2021,A,2,4,6,13,18,26,31,33,34,42,43,46,55,59,61,62,63,66,67,68
Dec 22 2021,A,2,3,4,6,8,11,15,16,18,19,26,27,32,47,49,52,57,59,64,67
Dec 21 2021,A,5,6,13,14,17,18,30,31,32,37,38,39,40,50,51,54,57,65,66,70
Dec 20 2021,A,1,4,6,9,11,18,25,27,34,35,36,37,38,45,47,48,51,53,61,68
Dec 19 2021,A,1,5,6,10,14,16,26,27,32,35,36,44,45,47,50,53,62,65,67,69
Dec 18 2021,A,8,12,16,23,26,27,29,30,34,35,41,43,45,49,50,58,59,60,61,63
Dec 17 2021,A,4,11,12,16,18,20,21,26,29,37,38,41,45,56,57,58,59,67,68,70
Dec 16 2021,A,1,2,6,15,21,28,30,36,38,39,41,45,46,52,53,55,59,61,62,67
Dec 15 2021,A,3,4,9,12,16,19,20,22,24,25,26,41,43,44,46,55,57,63,64,65
Dec 14 2021,A,1,2,9,10,15,17,24,27,29,31,32,40,43,48,50,51,53,55,57,62
Dec 13 2021,A,5,7,8,10,15,16,17,18,22,23,25,31,34,45,48,49,51,52,57,67
