PlayDate,AP,N01,N02,N03,N04,N05,N06,N07,N08,N09,N10,N11,N12,N13,N14,N15,N16,N17,N18,N19,N20
Dec 31 2020,M,1,5,6,8,11,13,18,19,22,23,27,29,34,35,36,38,57,59,60,70
Dec 30 2020,M,5,7,9,10,11,16,21,22,25,31,38,41,52,54,57,60,62,66,67,69
Dec 29 2020,M,2,3,6,9,23,31,32,39,45,47,49,52,55,56,57,58,59,63,65,66
Dec 28 2020,M,2,4,7,12,14,15,17,21,25,36,37,47,54,55,56,57,62,65,66,69
Dec 27 2020,M,2,3,5,6,7,8,11,16,18,25,30,32,37,42,44,49,60,63,66,67
Dec 26 2020,M,1,3,7,9,11,25,27,28,31,32,34,35,43,44,52,57,61,63,64,66
Dec 25 2020,M,2,14,16,18,20,22,24,29,31,36,38,43,45,46,49,51,53,58,66,67
Dec 24 2020,M,6,9,10,17,22,24,32,34,35,36,38,39,40,41,56,58,61,62,64,70
Dec 23 2020,M,1,3,6,10,12,14,15,16,18,19,26,36,39,40,41,54,58,62,66,67
Dec 22 2020,M,3,7,15,17,18,19,20,28,30,31,40,41,45,47,50,56,61,66,68,70
Dec 21 2020,M,4,5,7,10,21,24,32,34,37,42,44,46,49,51,57,59,60,63,65,68
Dec 20 2020,M,1,2,8,15,17,21,25,28,32,34,35,40,44,46,51,53,54,60,62,63
Dec 19 2020,M,2,6,13,21,24,26,30,39,45,46,49,50,53,55,58,59,60,61,62,65
Dec 18 2020,M,1,3,6,7,11,13,14,29,31,32,33,37,38,47,50,54,56,62,64,65
Dec 17 2020,M,2,8,9,15,19,21,26,27,28,29,32,34,40,45,46,48,49,51,63,68
Dec 16 2020,M,8,10,11,15,19,20,28,29,34,36,37,40,45,50,52,53,57,58,62,64
Dec 15 2020,M,1,5,16,22,23,26,30,35,39,41,43,49,53,58,60,61,64,67,68,69
Dec 14 2020,M,2,5,17,21,23,26,27,30,31,32,34,36,40,46,48,49,52,53,55,61
Dec 13 2020,M,7,11,12,13,16,21,25,30,31,34,35,36,40,44,45,48,52,56,59,65
Dec 12 2020,M,6,9,11,15,18,20,23,24,31,34,36,45,47,49,53,60,62,64,69,70
Dec 11 2020,M,2,5,7,9,12,16,17,21,34,46,48,49,54,57,58,61,62,65,66,68
Dec 10 2020,M,1,2,6,7,9,12,17,22,24,27,35,37,39,45,49,52,55,58,60,68
Dec 09 2020,M,5,8,9,19,23,24,25,27,32,33,36,42,48,54,57,59,60,64,68,69
Dec 08 2020,M,4,5,6,12,19,22,24,25,27,28,30,31,37,39,43,44,45,50,64,65
Dec 07 2020,M,2,6,8,9,12,13,17,24,25,26,29,32,36,50,62,63,65,66,68,70
Dec 06 2020,M,1,5,6,11,12,13,16,23,27,28,30,42,43,44,49,50,56,65,67,68
Dec 05 2020,M,9,12,13,22,23,24,26,34,39,42,44,49,50,51,57,58,59,66,67,70
Dec 04 2020,M,2,4,9,12,13,16,18,26,33,37,41,45,46,47,48,51,53,55,62,63
Dec 03 2020,M,5,18,19,20,21,22,28,38,39,41,44,47,50,51,52,57,59,61,63,66
Dec 02 2020,M,2,7,10,13,14,16,17,25,27,30,31,37,38,53,58,61,64,67,69,70
Dec 01 2020,M,2,3,11,12,19,32,34,36,38,40,42,46,48,50,53,57,58,61,63,67
Nov 30 2020,M,3,10,17,18,19,23,24,25,27,28,29,30,41,44,49,55,56,58,59,62
Nov 29 2020,M,3,8,18,22,26,34,41,42,45,47,48,49,55,56,58,61,62,64,67,70
Nov 28 2020,M,1,3,14,18,20,25,28,32,34,36,38,42,43,44,48,54,55,56,61,67
Nov 27 2020,M,2,3,5,10,15,18,25,29,30,35,37,38,47,48,50,52,55,60,63,67
Nov 26 2020,M,1,6,7,8,10,14,15,16,21,22,30,36,37,40,44,49,54,59,60,64
Nov 25 2020,M,1,4,11,12,14,26,28,30,31,40,41,43,44,47,53,54,59,61,64,67
Nov 24 2020,M,1,8,9,11,14,18,19,20,21,25,30,35,42,44,45,48,51,55,56,64
Nov 23 2020,M,2,8,12,15,24,31,34,35,37,38,39,43,48,50,52,55,56,62,64,69
Nov 22 2020,M,1,7,9,19,20,22,28,33,37,47,51,54,55,56,57,62,64,65,66,68
Nov 20 2020,M,2,9,12,15,16,20,21,23,25,26,28,42,45,48,49,54,55,57,62,69
Nov 19 2020,M,6,13,15,26,30,33,34,36,37,43,46,47,51,52,55,56,57,58,59,69
Nov 18 2020,M,6,9,11,12,13,16,17,20,30,33,44,45,47,56,57,60,61,64,68,69
Nov 17 2020,M,6,8,9,10,11,12,13,14,16,25,36,40,43,47,52,60,63,66,67,68
Nov 16 2020,M,5,10,22,25,26,30,31,34,35,36,37,43,47,50,58,61,62,63,69,70
Nov 15 2020,M,7,9,19,20,24,25,28,32,37,40,41,45,50,51,53,56,58,60,62,70
Nov 14 2020,M,2,3,5,6,7,13,14,17,19,20,21,23,28,31,47,48,50,57,59,60
Nov 13 2020,M,3,10,11,15,17,18,22,24,25,28,38,43,52,55,57,58,59,61,63,68
Nov 12 2020,M,6,9,14,15,20,25,26,27,28,29,30,36,42,44,45,48,52,66,68,69
Nov 11 2020,M,3,10,13,22,24,29,30,34,38,41,42,51,52,53,54,55,61,62,64,67
Nov 10 2020,M,9,12,17,20,24,25,26,28,31,37,42,49,52,56,57,61,62,65,66,67
Nov 09 2020,M,2,7,9,11,13,15,21,22,24,26,28,35,40,42,43,64,65,66,67,70
Nov 08 2020,M,1,9,10,11,14,19,23,25,39,43,45,46,47,56,58,60,63,64,67,69
Nov 07 2020,M,3,9,11,12,14,15,18,19,23,27,28,36,38,39,40,48,49,51,61,70
Nov 06 2020,M,1,3,8,13,19,22,33,35,38,46,49,50,52,56,58,61,64,65,67,70
Nov 05 2020,M,2,3,5,7,9,14,19,24,29,30,31,34,35,38,41,51,56,62,64,70
Nov 04 2020,M,1,4,10,14,25,36,37,38,39,40,41,45,47,48,49,50,53,64,65,70
Nov 03 2020,M,1,10,12,14,21,22,28,29,31,43,45,53,54,55,56,58,65,66,67,70
Nov 02 2020,M,3,5,9,10,11,12,19,21,24,25,26,28,29,34,35,39,43,45,50,57
Nov 01 2020,M,6,7,8,9,18,20,24,25,26,30,31,37,42,47,52,54,58,59,60,67
Oct 31 2020,M,16,19,21,22,23,29,30,32,33,34,38,41,42,48,49,50,53,57,62,66
Oct 30 2020,M,11,15,16,20,21,22,23,24,25,26,27,28,36,39,43,44,46,51,61,68
Oct 29 2020,M,7,8,10,12,13,14,19,21,22,23,27,28,33,38,46,48,51,59,64,70
Oct 28 2020,M,4,5,12,16,18,23,26,27,29,31,35,36,42,43,45,47,58,60,65,69
Oct 27 2020,M,3,5,9,10,12,18,19,20,23,26,30,32,42,44,46,51,54,60,62,70
